"PARENT_CATEGORY_CATEGORY_CODE","CHILD_CATEGORY_CATEGORY_CODE","ADVERTISER_CID","SUM(SUM_COMM_AMOUNT_USD)"
304,305,4024703,3217.051
304,305,4024924,1110.917
304,305,4025749,3327.745
304,305,4027399,1777.196
304,305,4027410,2641.811
304,305,4029215,4024.571
304,305,4029387,94793.819
304,305,4034110,4906.591
304,305,4038425,6006.639
304,305,4039364,1970.022
304,305,4044858,12470.464
304,305,4050489,1501.547
304,305,4052060,6609.599
304,305,4054254,1337.743
304,305,4054388,2205
304,305,4057030,8182.95
304,305,4057709,22964.312
304,305,4059796,5917.171
304,305,4060424,2441.21
304,305,4104464,1854.236
304,305,4109783,3004.5
304,305,4143835,8255.597
304,305,4176219,1573.763
304,305,4179814,1341.53
304,305,4181049,1117.8
304,305,4201370,6022.907
304,305,4204539,8654.052
304,305,4209848,1610.341
304,305,4219820,1100
304,305,4222898,1177.985
304,305,4230684,9714.782
304,305,4246741,1663.102
304,305,4255121,2599.6
304,305,4257332,7512.242
304,305,4270890,1621.639
304,305,4297311,3931.863
304,305,4311781,3610.18
304,305,4340040,11302.531
304,305,4346056,20674.976
304,305,4348960,1089.9
304,305,4363549,2870.816
304,305,4363858,1050.263
304,305,4389797,7876.606
304,305,4403090,2040
304,305,4403091,20480.353
304,305,4445720,3106.372
304,305,4451250,2036.676
304,305,4467050,17950.857
304,306,260551,9635.35
304,306,276652,18972.765
304,306,473140,1474.449
304,306,646853,15309.536
304,306,736742,1069
304,306,853835,21023.279
304,306,854349,1048.003
304,306,904879,39772.876
304,306,943306,5623.691
304,306,1097361,1438.436
304,306,1103169,6190
304,306,1185635,3914.932
304,306,1338756,2266
304,306,1359820,24221.282
304,306,1428276,1350
304,306,1463156,1072.015
304,306,1464653,12253.831
304,306,1496477,1553.409
304,306,1513033,4191.893
304,306,1547334,3870.02
304,306,1551486,1105.264
304,306,1569747,3120.953
304,306,1579083,4487.453
304,306,1669122,3732.282
304,306,1675692,2023.499
304,306,1702763,4517.62
304,306,1807847,4806.322
304,306,1811754,1089.135
304,306,1825555,1837.773
304,306,1826017,4370.102
304,306,1826367,3142.664
304,306,1874913,17702.956
304,306,1875529,1894.97
304,306,1905878,137264.061
304,306,1921203,1736.316
304,306,1935099,3712.84
304,306,1935101,1131.644
304,306,1935104,2550.119
304,306,1942253,1860
304,306,1978840,1217.5
304,306,2069963,2733.431
304,306,2297498,18664.9
304,306,2333769,1014.06
304,306,2376964,1079.701
304,306,2400910,2997.55
304,306,2463026,2942.476
304,306,2466495,5991.07
304,306,2503629,15911.088
304,306,2515404,1179
304,306,2542022,2087.669
304,306,2568723,8591.834
304,306,2710035,3220
304,306,2725075,2836
304,306,2761757,1320.544
304,306,2844548,2005.218
304,306,2845015,12105.809
304,306,2942540,4975.983
304,306,2948661,23082.31
304,306,2960055,1584
304,306,2962777,6847.4
304,306,2999310,5177.868
304,306,3044792,3150
304,306,3054995,16324.637
304,306,3092756,685709.959
304,306,3232944,2628.804
304,306,3396639,1427.92
304,306,3429071,2194.375
304,306,3449087,4724.677
304,306,3597060,1307.398
304,306,3635222,3060.694
304,306,3655512,4545.463
304,306,3726565,1891.349
304,306,3743656,13679.34
304,306,3788974,1449.829
304,306,3848495,1520.669
304,306,3857107,1493.833
304,306,3895296,1700
304,306,3992613,1048.555
304,306,4014442,4700.413
304,306,4018320,1196.199
304,306,4022603,3720.587
304,306,4057030,8909.596
304,306,4059605,2274.473
304,306,4059796,2104.928
304,306,4071328,6525
304,306,4072089,22709.406
304,306,4110283,1052.066
304,306,4128678,2264.165
304,306,4337634,1576.467
304,306,4346056,2344.232
304,306,4355234,3466.352
304,306,4389797,1823.102
304,306,4406388,1430
304,307,242732,3428.126
304,307,418963,11062.81
304,307,446602,1312.849
304,307,804819,1645.315
304,307,829234,4929.449
304,307,849260,111831.315
304,307,869276,1745.008
304,307,882408,23450.652
304,307,987860,4437.06
304,307,1055136,12358.396
304,307,1055899,30274.846
304,307,1089033,2483.401
304,307,1111879,1277.845
304,307,1121438,5536
304,307,1133298,23039.798
304,307,1154360,1405.603
304,307,1181479,71135.513
304,307,1338756,3045.591
304,307,1359466,1354.755
304,307,1382555,1054.754
304,307,1410130,3044.304
304,307,1442983,11516
304,307,1455022,2712.14
304,307,1461363,35421.069
304,307,1463221,5141.994
304,307,1464653,10305.655
304,307,1496477,17668.19
304,307,1499268,1472.37
304,307,1509043,1004.722
304,307,1513033,14480.645
304,307,1525519,4725.886
304,307,1549809,4425.27
304,307,1562723,1781.696
304,307,1569747,4872.11
304,307,1571785,1555.406
304,307,1579083,1226.571
304,307,1584790,1698.886
304,307,1589036,1332.501
304,307,1603901,1370.5
304,307,1610772,3304.995
304,307,1610790,2868.647
304,307,1610793,1470.793
304,307,1627087,4415.392
304,307,1629726,2343.613
304,307,1642106,35606.352
304,307,1649592,3806.315
304,307,1675692,49495.83
304,307,1678405,1400
304,307,1702763,15056.101
304,307,1779394,2153.133
304,307,1788210,167820
304,307,1807847,9849.502
304,307,1817872,1700
304,307,1822347,13965.982
304,307,1834595,6898.394
304,307,1838988,2828.988
304,307,1849428,1649.366
304,307,1874913,32354.863
304,307,1875529,15954.96
304,307,1905878,2023.641
304,307,1952646,10414.73
304,307,1957211,21785.331
304,307,2011339,11134.829
304,307,2033441,1894.276
304,307,2050945,2579.981
304,307,2101690,1673.622
304,307,2102181,6346.215
304,307,2107818,3822.307
304,307,2123642,3246.212
304,307,2125808,4212.706
304,307,2143822,5618.152
304,307,2153734,13472.109
304,307,2175653,1488.574
304,307,2182928,1676.415
304,307,2189066,18776.431
304,307,2193491,2353.705
304,307,2195726,3448.694
304,307,2220159,2034.996
304,307,2230306,5634.353
304,307,2249115,2387.847
304,307,2268434,1783.167
304,307,2271086,1432.488
304,307,2288710,76317.14
304,307,2291117,2088.795
304,307,2292829,1489.737
304,307,2339240,2183.887
304,307,2357858,1406.443
304,307,2366516,2710.3
304,307,2426393,1534.866
304,307,2437969,5253.91
304,307,2468227,2214.18
304,307,2503629,2266.444
304,307,2503687,1150.843
304,307,2515404,1265
304,307,2534397,32196.192
304,307,2542022,3811.516
304,307,2568723,5872.089
304,307,2592965,65127.36
304,307,2609575,9493.811
304,307,2626374,4299.3
304,307,2628179,8000.033
304,307,2660710,2514.54
304,307,2691614,2919.235
304,307,2692680,1002.392
304,307,2724803,14634.6
304,307,2742022,2055.177
304,307,2757954,3669.834
304,307,2800540,1592.29
304,307,2844946,33597.582
304,307,2873989,1678.576
304,307,2905841,2573.58
304,307,2910473,1634.38
304,307,2916100,44009.174
304,307,2943263,1186.196
304,307,2948661,16750.303
304,307,2954255,1381.96
304,307,2962777,9612.031
304,307,2971895,1981.434
304,307,2971897,35661.22
304,307,3014150,2070.692
304,307,3044792,3920
304,307,3049768,2605.097
304,307,3049997,1521.479
304,307,3055640,3166.2
304,307,3090276,2472.351
304,307,3115217,1404.732
304,307,3122889,9342.974
304,307,3179724,1632.307
304,307,3234684,4680
304,307,3319446,1738.3
304,307,3379721,4138.946
304,307,3381564,1657.572
304,307,3401969,4042.832
304,307,3449087,10590.902
304,307,3553686,1415.234
304,307,3554949,1521.424
304,307,3579991,3204.193
304,307,3616732,12363.686
304,307,3635222,6936.532
304,307,3663328,1914.745
304,307,3671919,4611.419
304,307,3682795,1164.109
304,307,3683615,3210.387
304,307,3697187,2065
304,307,3708710,1116
304,307,3719549,1042.32
304,307,3724478,2151.656
304,307,3746136,1055.831
304,307,3776728,1051.315
304,307,3818674,1173.777
304,307,3818707,1035.745
304,307,4016127,1278.899
304,307,4018320,4457.601
304,307,4019845,1098.443
304,307,4024703,5321.957
304,307,4028100,18835
304,307,4034110,1429.5
304,307,4044858,14083.3
304,307,4057030,1288.016
304,307,4059796,2133.01
304,307,4075734,1071.25
304,307,4076158,9824.627
304,307,4095005,2628
304,307,4098455,934913.434
304,307,4102948,1978.654
304,307,4104464,11311.156
304,307,4104476,2570.63
304,307,4104505,4007.929
304,307,4104509,1665.765
304,307,4131376,4266.513
304,307,4176219,27144.934
304,307,4200723,7460
304,307,4257857,1501.841
304,307,4262601,2836.691
304,307,4297311,161932.824
309,310,129899,4897.11
309,310,276652,3816.614
309,310,392130,44187.344
309,310,398977,1677.394
309,310,520129,168999.472
309,310,698247,92230.662
309,310,713904,27885
309,310,769194,5036.584
309,310,829234,19502.531
309,310,882408,4653.59
309,310,904879,3251.218
309,310,987860,23904.643
309,310,1032768,1728
309,310,1087150,38568.655
309,310,1103169,1574
309,310,1121438,3240
309,310,1133298,3128.258
309,310,1357480,1116.3
309,310,1382555,6311.019
309,310,1404429,2029.293
309,310,1427863,989043.361
309,310,1455022,1050.923
309,310,1461363,5232.566
309,310,1463221,1151.1
309,310,1464653,6394.55
309,310,1501311,1280
309,310,1511922,2300
309,310,1513033,42319.291
309,310,1549809,10649.202
309,310,1564112,1200
309,310,1579083,1239.605
309,310,1602191,1303.472
309,310,1603901,3498.799
309,310,1610772,1159.136
309,310,1629726,1077.886
309,310,1631023,1884.263
309,310,1666237,5870.476
309,310,1675692,1633.571
309,310,1702763,10626.59
309,310,1718554,2061.346
309,310,1763482,2501
309,310,1798207,2592.256
309,310,1817872,1120
309,310,1845757,66462.379
309,310,1874913,17464.341
309,310,1875529,5179.478
309,310,1905878,50711.618
309,310,1926808,4573.073
309,310,2030865,24049.586
309,310,2056438,1452.749
309,310,2088604,1188.385
309,310,2125808,1219.943
309,310,2166288,1419
309,310,2172304,39400.789
309,310,2271086,1020.885
309,310,2297498,2118.83
309,310,2335572,1080.853
309,310,2372739,4118.25
309,310,2544507,41996.328
309,310,2568723,2587.437
309,310,2626374,1359.216
309,310,2697106,1030.834
309,310,2698182,1510.603
309,310,2719690,1402.8
309,310,2757954,3171.509
309,310,2797026,1900
309,310,2842866,84838.286
309,310,2858589,3726
309,310,2860182,182417.896
309,310,2942540,1800.355
309,310,2948661,2901.153
309,310,2960055,202832
309,310,2999310,1475.493
309,310,3014737,4226.25
309,310,3069727,1540.675
309,310,3163922,1156.725
309,310,3260734,5827.895
309,310,3279381,2743.938
309,310,3286350,1266
309,310,3379721,1998.762
309,310,3683615,1042.481
309,310,3687358,4522.789
309,310,3693591,1890
309,310,3739701,1352.679
309,310,3745578,16680.954
309,310,3749003,4381.641
309,310,3774619,40387.636
309,310,3804526,2057.134
309,310,3810345,3067.44
