"COMPANY","ID","CATEGORY"
4561198,7844212,316
4561201,7844213,316
4561202,7844215,329
4561203,7844216,307
4561204,7844219,333
4561206,7844221,367
4561206,7844222,367
4561206,7844223,1022
4561208,7844225,395
4561209,7844226,317
4561210,7844227,313
4561212,7844228,410
4561213,7844229,421
4561214,7844230,397
4561215,7844232,358
4561216,7844233,316
4561217,7844234,395
4561218,7844235,306
4561219,7844238,395
4561220,7844239,316
4561221,7844240,1026
4561222,7844242,581
4561223,7844243,386
4561224,7844244,323
4561226,7844245,336
4561228,7844246,701
4561229,7844247,1111
4561230,7844248,316
4561231,7844249,385
4561232,7844251,316
4561233,7844253,581
4561233,7844256,413
4561234,7844255,316
4561235,7844257,366
4561235,7844330,366
4561236,7844258,400
4561237,7844261,380
4561238,7844262,311
4561239,7844263,1044
4561243,7844265,385
4561246,7844267,409
4561247,7844268,310
4561248,7844269,323
4561252,7844273,346
4561254,7844274,316
4561256,7844276,345
4561256,7844282,345
4561257,7844277,316
4561259,7844278,367
4561261,7844279,1022
4561262,7844280,381
4561263,7844281,1109
4561265,7844283,1022
4561266,7844284,371
4561269,7844287,409
4561270,7844289,306
4561271,7844290,374
4561275,7844291,410
4561277,7844293,942
4561279,7844294,385
4561279,7844321,701
4561279,7844323,416
4561280,7844295,1038
4561284,7844296,378
4561287,7844297,373
4561288,7844298,329
4561289,7844299,1022
4561290,7844300,1142
4561291,7844301,421
4561292,7844302,312
4561293,7844303,385
4561293,7844304,385
4561293,7844305,307
4561293,7844306,385
4561293,7844307,385
4561294,7844308,393
4561295,7844309,395
4561296,7844310,1022
4561297,7844313,388
4561299,7844315,316
4561300,7844316,1022
4561301,7844317,392
4561302,7844318,317
4561303,7844319,392
4561304,7844320,701
4561308,7844324,360
4561309,7844325,421
4561310,7844326,386
4561311,7844327,412
4561311,7844331,581
4561312,7844328,323
4561313,7844329,1022
4561314,7844333,416
4561319,7844334,701
4561320,7844335,316
4561321,7844336,323
4561322,7844338,386
4561323,7844341,581
4561324,7844342,316
4561325,7844343,393
4561326,7844344,381
4561327,7844345,323
4561328,7844347,374
4561329,7844348,1022
4561330,7844349,406
4561331,7844350,392
4561332,7844351,741
4561334,7844352,416
4561335,7844353,762
4561336,7844354,410
4561337,7844355,360
4561338,7844356,397
4561339,7844357,373
4561343,7844364,601
4561345,7844365,316
4561347,7844366,397
4561347,7844377,416
4561348,7844368,350
4561349,7844369,316
4561350,7844372,316
4561350,7844383,381
4561351,7844373,410
4561352,7844375,1044
4561353,7844376,410
4561354,7844378,409
4561355,7844379,381
4561356,7844380,323
4561357,7844382,316
4561358,7844385,1022
4561359,7844386,322
4561360,7844388,316
4561363,7844397,346
4561364,7844399,1022
4561366,7844400,319
4561369,7844401,1047
4561369,7844439,391
4561370,7844402,370
4561371,7844403,1022
4561373,7844407,395
4561374,7844408,1052
4561375,7844409,395
4561377,7844411,378
4561378,7844412,1047
4561380,7844413,416
4561383,7844414,356
4561384,7844415,339
4561385,7844416,380
4561388,7844418,316
4561389,7844420,1040
4561389,7844441,392
4561390,7844421,416
4561391,7844422,323
4561392,7844423,307
4561393,7844424,380
4561394,7844425,409
4561395,7844426,621
4561398,7844427,323
4561401,7844429,323
4561401,7845651,413
4561402,7844432,1022
4561403,7844434,380
4561404,7844435,385
4561405,7844436,342
4561406,7844437,320
4561407,7844438,373
4561409,7844444,1022
4561409,7844476,1022
4561410,7844445,409
4561411,7844446,316
4561412,7844447,303
4561413,7844448,416
4561413,7844452,416
4561414,7844449,1022
4561415,7844450,340
4561416,7844451,305
4561418,7844453,393
4561421,7844454,385
4561423,7844456,360
4561424,7844457,371
4561424,7844459,371
4561424,7844465,1022
4561425,7844458,305
4561426,7844461,381
4561427,7844468,316
4561428,7844469,1022
4561429,7844470,1022
4561430,7844471,316
4561431,7844472,302
4561432,7844473,324
4561433,7844474,381
4561436,7844478,312
4561437,7844479,324
4561438,7844481,316
4561439,7844482,316
4561440,7844483,374
4561441,7844484,381
4561442,7844485,349
4561444,7844489,1022
4561445,7844491,581
4561446,7844492,1103
4561448,7844496,333
4561451,7844498,409
4561452,7844500,307
4561452,7844502,406
4561452,7844503,313
4561452,7844504,313
4561452,7844506,391
4561453,7844501,316
4561456,7844507,421
4561457,7844510,406
4561458,7844513,409
4561459,7844514,395
4561460,7844515,409
4561462,7844516,581
4561463,7844517,762
4561464,7844518,342
4561465,7844519,393
4561466,7844521,1033
4561467,7844522,306
4561468,7844523,373
4561469,7844524,1022
4561470,7844525,328
4561472,7844526,316
4561473,7844527,319
4561474,7844528,1044
4561475,7844529,581
4561476,7844530,409
4561479,7844532,305
4561480,7844533,409
4561482,7844534,1047
4561484,7844537,334
4561486,7844538,397
4561489,7844539,418
4561490,7844540,381
4561491,7844542,409
4561492,7844543,421
4561493,7844544,316
4561495,7844545,381
4561496,7844546,322
4561498,7844549,316
4561499,7844550,1022
4561507,7844551,319
4561507,7844554,319
4561509,7844552,1022
4561510,7844553,313
4561511,7844555,313
4561512,7844556,307
4561513,7844557,1041
4561514,7844558,418
4561516,7844559,316
4561517,7844560,501
4561518,7844562,358
4561519,7844563,301
4561520,7844564,359
4561521,7844566,367
4561522,7844568,322
4561523,7844570,381
4561524,7844571,390
4561525,7844572,581
4561525,7844575,391
4561526,7844574,360
4561527,7844576,310
4561528,7844577,354
4561530,7844578,1101
4561531,7844581,366
4561531,7844584,366
4561532,7844582,385
4561535,7844583,340
4561540,7844586,461
4561542,7844587,1022
4561544,7844589,701
4561545,7844591,384
4561546,7844592,387
4561547,7844593,387
4561548,7844595,417
4561550,7844596,741
4561551,7844597,322
4561552,7844598,981
4561553,7844599,329
4561554,7844600,381
4561555,7844601,1022
4561556,7844602,1023
4561557,7844603,1110
4561558,7844604,621
4561559,7844605,306
4561560,7844606,386
4561563,7844609,406
4561564,7844610,327
4561565,7844611,762
4561566,7844612,1029
4561567,7844613,316
4561570,7844620,409
4561571,7844621,1022
4561573,7844622,317
4561575,7844624,374
4561576,7844625,312
4561576,7844628,312
4561576,7844629,312
4561576,7844630,421
4561576,7844631,316
4561576,7844632,316
4561577,7844626,409
4561578,7844635,312
4561579,7844638,319
4561580,7844639,392
4561580,7848996,313
4561581,7844642,340
4561582,7844643,374
4561583,7844644,305
4561584,7844645,323
4561585,7844646,410
4561586,7844647,307
4561587,7844648,310
4561588,7844649,1022
4561589,7844650,1022
4561590,7844651,421
4561591,7844653,360
4561592,7844654,336
4561593,7844655,305
4561595,7844656,410
4561598,7844657,312
4561599,7844658,374
4561600,7844659,381
4561601,7844660,381
4561602,7844661,316
4561603,7844662,312
4561604,7844663,316
4561605,7844665,305
4561606,7844667,1048
4561607,7844668,762
4561608,7844671,373
4561611,7844675,1022
4561612,7844676,381
4561613,7844677,361
4561614,7844678,388
4561616,7844679,374
4561617,7844680,386
4561618,7844681,1022
4561619,7844682,409
4561619,7845198,409
4561622,7844683,323
4561623,7844684,328
4561624,7844685,316
4561625,7844686,410
4561626,7844687,322
4561628,7844688,312
4561631,7844689,324
4561632,7844690,395
4561633,7844691,312
4561634,7844692,395
4561635,7844693,319
4561635,7844699,319
4561636,7844694,421
4561638,7844695,354
4561639,7844696,1022
4561640,7844697,380
4561641,7844700,406
4561642,7844701,1022
4561643,7844702,521
4561644,7844703,416
4561645,7844704,381
4561645,7844995,1112
4561646,7844705,397
4561647,7844706,316
4561647,7844726,316
4561648,7844708,386
4561651,7844709,319
4561653,7844710,316
4561655,7844711,381
4561656,7844712,392
4561656,7844727,581
4561656,7844728,384
4561657,7844713,301
4561659,7844714,762
4561662,7844715,1022
4561663,7844716,310
4561663,7844720,391
4561665,7844717,1022
4561667,7844718,345
4561668,7844721,386
4561669,7844722,581
4561670,7844723,316
4561671,7844724,360
4561675,7844725,386
4561678,7844729,381
4561679,7844730,401
4561680,7844732,374
4561681,7844733,354
4561682,7844734,641
4561683,7844737,380
4561685,7844738,376
4561686,7844739,386
4561687,7844740,409
4561688,7844742,392
4561689,7844743,392
4561690,7844744,380
4561691,7844745,1022
4561693,7844747,354
4561694,7844748,381
4561695,7844749,305
4561696,7844750,312
4561698,7844751,311
4561699,7844752,1022
4561700,7844753,305
4561701,7844754,410
4561702,7844755,421
4561703,7844756,385
4561704,7844757,762
4561705,7844758,354
4561706,7844759,380
4561707,7844760,388
4561707,7844771,388
4561708,7844761,661
4561710,7844762,367
4561711,7844763,381
4561712,7844764,319
4561713,7844765,307
4561714,7844766,302
4561715,7844767,359
4561717,7844770,405
4561718,7844772,392
4561719,7844774,316
4561720,7844775,401
4561720,7844782,401
4561721,7844776,392
4561722,7844777,316
4561724,7844779,360
4561725,7844780,641
4561730,7844781,416
4561736,7844786,416
4561737,7844788,329
4561738,7844789,367
4561739,7844790,741
4561744,7844793,421
4561745,7844794,397
4561746,7844795,360
4561747,7844796,392
4561748,7844797,390
4561749,7844798,741
4561749,7844808,391
4561750,7844799,380
4561751,7844800,322
4561752,7844801,1101
4561753,7844812,342
4561754,7844813,1022
4561755,7844814,361
4561756,7844815,741
4561758,7844817,421
4561760,7844818,328
